,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0632.FCS,260.0,65.0,43.0,50.0,55.0,112.0,394.0,387.0,285.0,112.0,324.0,1471.0,481.0,379.0,171.0,1457.0,291.0,31.0,145.0,27.0,313.0,1145.0,197.0,111.0,88.0,365.0,268.0,24.0,187.0,74.0,387.0,301.0
1552.FCS,1040.0,1117.0,34.0,54.0,230.0,37.0,1152.0,331.0,378.0,186.0,2042.0,167.0,53.0,104.0,77.0,312.0,515.0,3.0,496.0,598.0,61.0,76.0,48.0,21.0,341.0,225.0,108.0,35.0,56.0,22.0,63.0,18.0
0608.FCS,1283.0,844.0,78.0,69.0,331.0,51.0,562.0,581.0,507.0,78.0,838.0,219.0,197.0,249.0,400.0,91.0,334.0,7.0,1227.0,261.0,82.0,81.0,154.0,90.0,245.0,238.0,112.0,34.0,191.0,32.0,396.0,138.0
1416.FCS,277.0,47.0,48.0,7.0,245.0,21.0,137.0,1506.0,76.0,14.0,794.0,1221.0,735.0,15.0,28.0,1050.0,548.0,4.0,430.0,150.0,39.0,926.0,196.0,64.0,68.0,60.0,228.0,9.0,148.0,21.0,845.0,43.0
1840.FCS,908.0,214.0,24.0,25.0,137.0,32.0,410.0,1087.0,334.0,105.0,2076.0,333.0,180.0,146.0,33.0,763.0,1135.0,4.0,289.0,172.0,91.0,152.0,112.0,44.0,365.0,258.0,241.0,13.0,105.0,22.0,131.0,59.0
2336.FCS,362.0,107.0,47.0,10.0,194.0,9.0,260.0,252.0,194.0,60.0,93.0,860.0,478.0,480.0,367.0,1319.0,376.0,12.0,35.0,5.0,87.0,1074.0,315.0,155.0,50.0,1075.0,313.0,15.0,287.0,53.0,383.0,673.0
2832.FCS,732.0,165.0,75.0,74.0,78.0,343.0,674.0,276.0,369.0,36.0,265.0,1238.0,542.0,254.0,605.0,420.0,167.0,31.0,622.0,60.0,107.0,448.0,154.0,35.0,118.0,189.0,186.0,57.0,223.0,39.0,1107.0,311.0
1880.FCS,1506.0,349.0,26.0,10.0,2168.0,8.0,253.0,746.0,200.0,401.0,857.0,253.0,170.0,112.0,133.0,99.0,452.0,1.0,788.0,166.0,52.0,80.0,105.0,26.0,154.0,137.0,93.0,9.0,115.0,6.0,424.0,101.0
2816.FCS,621.0,185.0,9.0,9.0,71.0,14.0,125.0,436.0,2010.0,70.0,708.0,168.0,73.0,842.0,37.0,128.0,299.0,104.0,272.0,122.0,40.0,43.0,295.0,530.0,1042.0,465.0,148.0,15.0,321.0,448.0,117.0,233.0
2744.FCS,55.0,52.0,99.0,78.0,52.0,35.0,77.0,305.0,234.0,128.0,46.0,342.0,758.0,226.0,113.0,1475.0,742.0,5.0,12.0,8.0,223.0,2466.0,481.0,82.0,29.0,212.0,1180.0,64.0,87.0,34.0,103.0,197.0
