,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0150.FCS,16.0,1167.0,510.0,74.0,270.0,98.0,652.0,321.0,132.0,5.0,560.0,104.0,1668.0,2385.0,12.0,159.0,9.0,256.0,474.0,11.0,26.0,128.0,32.0,3.0,304.0,1.0,9.0,217.0,6.0,5.0,265.0,121.0
1470.FCS,34.0,1146.0,550.0,48.0,282.0,232.0,1176.0,735.0,197.0,8.0,501.0,331.0,101.0,660.0,3.0,244.0,10.0,1090.0,506.0,10.0,26.0,706.0,25.0,28.0,255.0,2.0,8.0,709.0,46.0,3.0,272.0,56.0
0014.FCS,23.0,1197.0,565.0,22.0,56.0,85.0,2382.0,43.0,150.0,0.0,406.0,34.0,72.0,274.0,6.0,118.0,1.0,102.0,117.0,2.0,24.0,374.0,99.0,3.0,875.0,0.0,6.0,153.0,5.0,1.0,2747.0,58.0
1494.FCS,273.0,170.0,449.0,46.0,2171.0,163.0,22.0,18.0,39.0,24.0,406.0,126.0,236.0,529.0,6.0,189.0,25.0,85.0,52.0,23.0,831.0,246.0,724.0,4.0,1467.0,13.0,25.0,106.0,28.0,6.0,1336.0,162.0
1694.FCS,25.0,896.0,1490.0,95.0,574.0,262.0,514.0,38.0,619.0,12.0,100.0,38.0,124.0,1058.0,38.0,153.0,23.0,35.0,106.0,107.0,462.0,138.0,394.0,0.0,1617.0,62.0,109.0,314.0,50.0,14.0,529.0,4.0
2350.FCS,13.0,1312.0,453.0,36.0,1010.0,63.0,430.0,22.0,549.0,16.0,52.0,38.0,87.0,185.0,1.0,292.0,11.0,13.0,166.0,16.0,289.0,105.0,720.0,0.0,3398.0,1.0,12.0,186.0,69.0,5.0,436.0,14.0
1990.FCS,17.0,475.0,695.0,45.0,166.0,156.0,1206.0,6.0,532.0,103.0,131.0,14.0,1808.0,1177.0,18.0,116.0,20.0,6.0,627.0,56.0,381.0,32.0,407.0,0.0,1330.0,56.0,8.0,39.0,21.0,18.0,316.0,18.0
2838.FCS,79.0,1496.0,698.0,45.0,408.0,188.0,1095.0,41.0,210.0,14.0,160.0,75.0,246.0,1302.0,20.0,103.0,7.0,51.0,529.0,41.0,109.0,143.0,93.0,14.0,1004.0,9.0,39.0,509.0,28.0,53.0,1166.0,25.0
0198.FCS,83.0,610.0,1298.0,67.0,356.0,196.0,179.0,26.0,669.0,15.0,93.0,68.0,464.0,954.0,27.0,185.0,15.0,45.0,41.0,59.0,518.0,116.0,598.0,4.0,2604.0,48.0,39.0,127.0,31.0,10.0,403.0,52.0
1222.FCS,85.0,703.0,557.0,85.0,385.0,416.0,2312.0,181.0,217.0,47.0,37.0,106.0,1314.0,1349.0,35.0,83.0,55.0,219.0,653.0,9.0,14.0,66.0,50.0,43.0,185.0,29.0,1.0,561.0,8.0,6.0,112.0,77.0
0126.FCS,18.0,1370.0,526.0,70.0,427.0,213.0,723.0,251.0,134.0,2.0,782.0,190.0,948.0,1273.0,10.0,160.0,13.0,532.0,178.0,33.0,51.0,370.0,64.0,12.0,477.0,0.0,18.0,237.0,42.0,9.0,800.0,67.0
2046.FCS,15.0,1371.0,265.0,80.0,146.0,1059.0,1032.0,513.0,602.0,27.0,431.0,922.0,128.0,354.0,4.0,584.0,11.0,218.0,155.0,17.0,291.0,102.0,720.0,0.0,536.0,11.0,14.0,198.0,80.0,6.0,73.0,35.0
1918.FCS,21.0,1571.0,1643.0,57.0,415.0,70.0,885.0,42.0,80.0,30.0,104.0,45.0,493.0,3172.0,5.0,66.0,9.0,74.0,110.0,20.0,76.0,22.0,42.0,0.0,657.0,3.0,25.0,34.0,11.0,1.0,197.0,20.0
2854.FCS,24.0,52.0,289.0,17.0,736.0,40.0,580.0,817.0,824.0,188.0,832.0,512.0,102.0,206.0,10.0,116.0,201.0,807.0,272.0,158.0,23.0,314.0,26.0,18.0,93.0,8.0,22.0,67.0,190.0,722.0,1646.0,88.0
2006.FCS,93.0,523.0,188.0,63.0,445.0,206.0,147.0,4.0,408.0,3.0,20.0,16.0,141.0,139.0,14.0,288.0,7.0,2.0,44.0,50.0,1034.0,64.0,1701.0,0.0,3991.0,7.0,75.0,85.0,43.0,4.0,174.0,21.0
1614.FCS,63.0,358.0,326.0,86.0,567.0,158.0,533.0,224.0,65.0,66.0,217.0,221.0,438.0,944.0,12.0,67.0,92.0,437.0,3584.0,9.0,25.0,38.0,16.0,1.0,39.0,10.0,8.0,498.0,7.0,25.0,765.0,101.0
1478.FCS,24.0,1498.0,1237.0,88.0,66.0,63.0,276.0,114.0,60.0,21.0,800.0,81.0,1507.0,1528.0,5.0,86.0,7.0,189.0,255.0,28.0,200.0,71.0,454.0,1.0,425.0,1.0,325.0,487.0,29.0,10.0,14.0,50.0
0238.FCS,28.0,232.0,320.0,23.0,74.0,48.0,472.0,179.0,222.0,5.0,304.0,191.0,4114.0,1319.0,3.0,157.0,4.0,147.0,238.0,15.0,52.0,86.0,47.0,2.0,999.0,1.0,2.0,77.0,81.0,3.0,170.0,385.0
2254.FCS,55.0,2464.0,888.0,65.0,326.0,220.0,905.0,120.0,114.0,3.0,314.0,149.0,432.0,1929.0,16.0,131.0,8.0,221.0,158.0,27.0,100.0,117.0,41.0,2.0,693.0,13.0,36.0,92.0,33.0,13.0,253.0,62.0
1310.FCS,83.0,452.0,532.0,74.0,212.0,187.0,376.0,166.0,70.0,23.0,275.0,265.0,2440.0,2314.0,39.0,48.0,44.0,256.0,1030.0,21.0,29.0,139.0,24.0,112.0,215.0,28.0,5.0,128.0,21.0,8.0,249.0,135.0
1830.FCS,58.0,1049.0,1283.0,32.0,90.0,98.0,1630.0,89.0,421.0,21.0,132.0,149.0,204.0,804.0,22.0,45.0,6.0,149.0,95.0,27.0,201.0,77.0,77.0,38.0,2573.0,14.0,10.0,107.0,14.0,15.0,327.0,143.0
1670.FCS,20.0,1487.0,288.0,11.0,114.0,191.0,1403.0,540.0,334.0,3.0,713.0,355.0,495.0,286.0,2.0,461.0,5.0,156.0,139.0,22.0,94.0,554.0,242.0,0.0,1661.0,9.0,14.0,190.0,38.0,3.0,69.0,101.0
1854.FCS,74.0,269.0,1264.0,114.0,545.0,116.0,668.0,251.0,316.0,35.0,285.0,64.0,902.0,2239.0,21.0,261.0,30.0,143.0,216.0,69.0,70.0,136.0,248.0,4.0,552.0,39.0,5.0,193.0,84.0,18.0,696.0,73.0
1846.FCS,54.0,1570.0,640.0,90.0,289.0,303.0,467.0,39.0,319.0,7.0,226.0,41.0,576.0,2384.0,55.0,133.0,8.0,108.0,109.0,22.0,60.0,113.0,335.0,0.0,1091.0,22.0,276.0,227.0,30.0,8.0,385.0,13.0
