,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2642.FCS,1419.0,443.0,60.0,223.0,359.0,216.0,117.0,175.0,676.0,105.0,197.0,727.0,603.0,51.0,56.0,97.0,2.0,62.0,290.0,292.0,150.0,331.0,106.0,160.0,838.0,208.0,80.0,253.0,238.0,39.0,1039.0,388.0
2826.FCS,1375.0,50.0,93.0,57.0,251.0,346.0,84.0,1213.0,84.0,167.0,155.0,655.0,168.0,32.0,427.0,159.0,1.0,247.0,351.0,302.0,103.0,148.0,173.0,171.0,718.0,1424.0,51.0,175.0,151.0,8.0,199.0,462.0
2810.FCS,30.0,3254.0,95.0,88.0,265.0,384.0,12.0,21.0,347.0,40.0,44.0,493.0,715.0,202.0,16.0,145.0,547.0,278.0,9.0,425.0,287.0,7.0,102.0,15.0,87.0,43.0,487.0,174.0,14.0,1031.0,123.0,220.0
0322.FCS,1366.0,146.0,72.0,85.0,346.0,77.0,72.0,2115.0,189.0,143.0,112.0,494.0,23.0,18.0,83.0,85.0,2.0,222.0,402.0,317.0,193.0,146.0,60.0,313.0,865.0,1099.0,32.0,134.0,229.0,0.0,175.0,385.0
2794.FCS,418.0,87.0,154.0,145.0,207.0,1225.0,41.0,833.0,98.0,211.0,71.0,871.0,291.0,10.0,271.0,99.0,2.0,559.0,76.0,314.0,258.0,43.0,359.0,110.0,206.0,1315.0,228.0,244.0,210.0,5.0,81.0,958.0
0562.FCS,700.0,526.0,152.0,15.0,952.0,322.0,57.0,1390.0,319.0,213.0,50.0,627.0,190.0,19.0,49.0,51.0,0.0,297.0,160.0,472.0,621.0,94.0,136.0,170.0,726.0,799.0,113.0,247.0,70.0,1.0,157.0,305.0
0650.FCS,379.0,146.0,78.0,122.0,383.0,675.0,8.0,363.0,160.0,144.0,6.0,1896.0,153.0,8.0,6.0,76.0,1.0,152.0,38.0,1062.0,572.0,47.0,157.0,18.0,1009.0,260.0,260.0,1061.0,20.0,3.0,91.0,646.0
0482.FCS,1032.0,666.0,272.0,81.0,601.0,139.0,19.0,1461.0,71.0,354.0,102.0,566.0,141.0,14.0,193.0,191.0,5.0,519.0,268.0,204.0,269.0,206.0,72.0,121.0,378.0,912.0,148.0,138.0,407.0,1.0,66.0,383.0
2434.FCS,1015.0,16.0,171.0,64.0,62.0,96.0,68.0,325.0,1120.0,44.0,98.0,921.0,353.0,16.0,7.0,574.0,11.0,34.0,145.0,977.0,79.0,96.0,154.0,169.0,1142.0,53.0,49.0,151.0,88.0,2.0,655.0,1245.0
0354.FCS,760.0,436.0,90.0,35.0,245.0,291.0,9.0,1871.0,178.0,137.0,23.0,342.0,212.0,12.0,3.0,21.0,15.0,188.0,444.0,401.0,263.0,168.0,180.0,635.0,827.0,1627.0,40.0,102.0,19.0,3.0,143.0,280.0
1346.FCS,242.0,381.0,156.0,149.0,1266.0,379.0,59.0,93.0,200.0,124.0,94.0,1341.0,535.0,21.0,51.0,319.0,1.0,407.0,51.0,384.0,480.0,88.0,52.0,29.0,159.0,173.0,965.0,559.0,374.0,3.0,305.0,560.0
0298.FCS,709.0,1044.0,153.0,178.0,442.0,1022.0,57.0,208.0,191.0,145.0,113.0,410.0,51.0,23.0,182.0,63.0,1.0,679.0,146.0,342.0,172.0,111.0,97.0,148.0,373.0,788.0,88.0,68.0,821.0,15.0,47.0,1113.0
1330.FCS,13.0,238.0,93.0,48.0,75.0,28.0,116.0,228.0,767.0,228.0,141.0,23.0,480.0,880.0,61.0,95.0,492.0,261.0,1305.0,121.0,200.0,2161.0,61.0,516.0,102.0,246.0,37.0,105.0,35.0,16.0,804.0,24.0
2290.FCS,365.0,269.0,261.0,158.0,1188.0,721.0,33.0,477.0,274.0,81.0,67.0,420.0,355.0,3.0,92.0,197.0,3.0,337.0,63.0,497.0,1536.0,60.0,349.0,183.0,244.0,207.0,314.0,114.0,225.0,1.0,148.0,758.0
1042.FCS,749.0,364.0,82.0,241.0,225.0,358.0,63.0,1293.0,218.0,73.0,104.0,181.0,101.0,27.0,50.0,106.0,13.0,749.0,116.0,491.0,714.0,122.0,900.0,290.0,631.0,193.0,114.0,88.0,371.0,3.0,138.0,832.0
0490.FCS,509.0,133.0,119.0,574.0,303.0,1047.0,37.0,506.0,766.0,69.0,53.0,125.0,406.0,25.0,43.0,470.0,8.0,145.0,119.0,491.0,546.0,179.0,1302.0,281.0,284.0,288.0,120.0,99.0,267.0,2.0,104.0,580.0
1458.FCS,205.0,1121.0,178.0,27.0,370.0,102.0,17.0,89.0,475.0,42.0,53.0,766.0,667.0,16.0,8.0,770.0,9.0,257.0,26.0,947.0,248.0,66.0,163.0,85.0,342.0,72.0,265.0,176.0,199.0,0.0,209.0,2030.0
1530.FCS,268.0,579.0,91.0,65.0,1050.0,842.0,69.0,947.0,177.0,280.0,107.0,596.0,139.0,23.0,47.0,55.0,0.0,710.0,174.0,170.0,519.0,77.0,106.0,131.0,150.0,1708.0,232.0,287.0,161.0,0.0,128.0,112.0
0826.FCS,293.0,1738.0,281.0,109.0,124.0,58.0,40.0,117.0,333.0,16.0,61.0,695.0,428.0,23.0,30.0,520.0,0.0,290.0,99.0,813.0,62.0,266.0,73.0,168.0,281.0,173.0,186.0,216.0,321.0,19.0,67.0,2100.0
