,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1963.FCS,91.0,398.0,214.0,137.0,70.0,25.0,2341.0,1.0,180.0,50.0,105.0,130.0,256.0,77.0,71.0,147.0,128.0,29.0,634.0,210.0,47.0,206.0,24.0,178.0,157.0,28.0,63.0,3418.0,89.0,329.0,34.0,133.0
2051.FCS,217.0,170.0,279.0,125.0,651.0,52.0,561.0,3.0,120.0,62.0,124.0,524.0,127.0,1589.0,146.0,141.0,80.0,58.0,711.0,81.0,542.0,162.0,41.0,741.0,615.0,188.0,539.0,132.0,380.0,761.0,45.0,33.0
0427.FCS,281.0,90.0,558.0,286.0,107.0,85.0,831.0,7.0,127.0,100.0,183.0,258.0,157.0,358.0,210.0,286.0,271.0,60.0,475.0,109.0,174.0,407.0,99.0,497.0,2083.0,140.0,1264.0,228.0,49.0,82.0,48.0,90.0
2819.FCS,75.0,244.0,111.0,88.0,155.0,37.0,80.0,4.0,97.0,54.0,72.0,872.0,197.0,2110.0,417.0,173.0,2.0,54.0,1737.0,26.0,196.0,323.0,18.0,186.0,374.0,102.0,1519.0,109.0,394.0,113.0,48.0,13.0
0275.FCS,304.0,132.0,1029.0,417.0,204.0,174.0,429.0,5.0,82.0,264.0,91.0,204.0,152.0,931.0,151.0,30.0,222.0,88.0,338.0,302.0,262.0,572.0,203.0,417.0,612.0,496.0,406.0,197.0,157.0,767.0,131.0,231.0
2867.FCS,104.0,129.0,132.0,248.0,123.0,303.0,1915.0,1.0,574.0,63.0,209.0,182.0,959.0,72.0,218.0,231.0,27.0,54.0,163.0,97.0,148.0,270.0,38.0,1044.0,473.0,324.0,312.0,1036.0,122.0,215.0,70.0,144.0
0811.FCS,187.0,209.0,367.0,145.0,1297.0,171.0,1059.0,0.0,197.0,25.0,129.0,181.0,686.0,363.0,230.0,109.0,120.0,49.0,617.0,50.0,415.0,180.0,14.0,627.0,836.0,176.0,410.0,275.0,237.0,464.0,155.0,20.0
0971.FCS,126.0,45.0,125.0,152.0,520.0,380.0,39.0,2.0,208.0,89.0,801.0,124.0,2440.0,3.0,222.0,85.0,376.0,12.0,53.0,83.0,54.0,227.0,56.0,177.0,259.0,1394.0,153.0,860.0,1.0,574.0,338.0,22.0
1491.FCS,103.0,2107.0,179.0,359.0,2744.0,16.0,61.0,4.0,146.0,20.0,302.0,122.0,601.0,123.0,273.0,192.0,22.0,270.0,73.0,118.0,40.0,37.0,25.0,304.0,101.0,80.0,197.0,44.0,40.0,1082.0,133.0,82.0
0491.FCS,112.0,274.0,922.0,259.0,152.0,26.0,558.0,7.0,133.0,76.0,261.0,263.0,108.0,456.0,254.0,131.0,3.0,119.0,1631.0,83.0,87.0,216.0,26.0,89.0,601.0,450.0,1099.0,890.0,252.0,130.0,114.0,218.0
0675.FCS,252.0,43.0,311.0,235.0,189.0,23.0,498.0,1.0,73.0,114.0,189.0,1219.0,17.0,1551.0,127.0,253.0,178.0,29.0,1223.0,124.0,459.0,325.0,56.0,181.0,217.0,49.0,539.0,311.0,841.0,273.0,32.0,68.0
1587.FCS,441.0,47.0,893.0,461.0,289.0,27.0,385.0,5.0,90.0,80.0,134.0,809.0,76.0,1394.0,247.0,271.0,26.0,42.0,614.0,388.0,289.0,275.0,67.0,328.0,304.0,107.0,689.0,179.0,300.0,269.0,51.0,423.0
0979.FCS,19.0,558.0,24.0,118.0,286.0,20.0,152.0,1.0,19.0,46.0,73.0,181.0,631.0,978.0,239.0,166.0,63.0,13.0,1034.0,22.0,33.0,124.0,337.0,228.0,468.0,210.0,1623.0,232.0,102.0,1939.0,51.0,10.0
0123.FCS,262.0,139.0,567.0,264.0,473.0,52.0,734.0,13.0,76.0,79.0,114.0,328.0,224.0,631.0,241.0,165.0,31.0,64.0,1005.0,125.0,288.0,461.0,41.0,394.0,583.0,210.0,599.0,370.0,685.0,528.0,125.0,129.0
1323.FCS,333.0,122.0,256.0,77.0,207.0,68.0,428.0,1.0,148.0,48.0,57.0,598.0,176.0,1308.0,371.0,391.0,111.0,152.0,421.0,74.0,246.0,89.0,54.0,691.0,239.0,70.0,912.0,108.0,1277.0,801.0,40.0,126.0
0523.FCS,243.0,405.0,223.0,173.0,511.0,36.0,978.0,6.0,163.0,38.0,207.0,118.0,467.0,751.0,158.0,257.0,19.0,177.0,810.0,40.0,228.0,105.0,31.0,760.0,594.0,242.0,732.0,498.0,659.0,280.0,49.0,42.0
0667.FCS,33.0,145.0,250.0,129.0,487.0,112.0,310.0,9.0,192.0,27.0,78.0,825.0,63.0,1259.0,701.0,395.0,20.0,98.0,893.0,33.0,420.0,71.0,16.0,419.0,433.0,194.0,774.0,101.0,829.0,557.0,62.0,65.0
2195.FCS,120.0,261.0,311.0,122.0,69.0,20.0,537.0,6.0,114.0,47.0,73.0,843.0,61.0,1755.0,85.0,100.0,14.0,290.0,1172.0,83.0,574.0,138.0,8.0,487.0,456.0,51.0,524.0,67.0,1389.0,113.0,40.0,70.0
1243.FCS,62.0,1116.0,176.0,89.0,44.0,52.0,859.0,2.0,130.0,30.0,121.0,49.0,1339.0,109.0,73.0,116.0,16.0,38.0,431.0,74.0,31.0,67.0,20.0,624.0,1616.0,166.0,936.0,1298.0,49.0,188.0,42.0,37.0
0995.FCS,97.0,479.0,151.0,97.0,539.0,143.0,1408.0,0.0,156.0,18.0,247.0,145.0,446.0,362.0,177.0,97.0,4.0,32.0,466.0,32.0,177.0,57.0,8.0,1009.0,1401.0,444.0,451.0,1045.0,55.0,174.0,56.0,27.0
1035.FCS,295.0,678.0,479.0,65.0,186.0,42.0,1515.0,1.0,118.0,36.0,38.0,232.0,413.0,424.0,254.0,204.0,139.0,29.0,497.0,248.0,187.0,139.0,29.0,1271.0,788.0,210.0,380.0,755.0,173.0,97.0,22.0,56.0
