,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0439.FCS,40.0,157.0,208.0,445.0,195.0,196.0,209.0,864.0,92.0,21.0,104.0,88.0,270.0,114.0,84.0,1249.0,1.0,105.0,110.0,212.0,691.0,620.0,223.0,15.0,154.0,9.0,103.0,37.0,652.0,1952.0,475.0,305.0
1383.FCS,37.0,85.0,275.0,612.0,180.0,399.0,11.0,2913.0,456.0,2.0,57.0,225.0,46.0,191.0,92.0,875.0,0.0,46.0,61.0,116.0,219.0,139.0,47.0,36.0,49.0,7.0,27.0,58.0,2437.0,149.0,112.0,41.0
0447.FCS,54.0,52.0,202.0,313.0,166.0,315.0,63.0,983.0,25.0,7.0,70.0,47.0,599.0,135.0,36.0,936.0,3.0,259.0,9.0,61.0,835.0,410.0,403.0,20.0,217.0,2.0,616.0,8.0,2405.0,123.0,424.0,202.0
0775.FCS,79.0,102.0,339.0,641.0,74.0,325.0,377.0,949.0,240.0,30.0,15.0,255.0,1047.0,64.0,121.0,551.0,40.0,111.0,20.0,115.0,331.0,524.0,401.0,118.0,437.0,4.0,994.0,217.0,622.0,119.0,430.0,308.0
0143.FCS,158.0,218.0,45.0,1125.0,394.0,1324.0,155.0,1002.0,10.0,12.0,107.0,51.0,339.0,62.0,76.0,1218.0,19.0,228.0,8.0,348.0,439.0,476.0,165.0,19.0,10.0,23.0,834.0,37.0,886.0,59.0,121.0,32.0
1759.FCS,115.0,267.0,333.0,918.0,85.0,92.0,1212.0,550.0,266.0,19.0,45.0,311.0,608.0,101.0,85.0,735.0,1.0,113.0,41.0,294.0,347.0,1364.0,140.0,181.0,229.0,8.0,15.0,25.0,435.0,200.0,601.0,264.0
1663.FCS,91.0,115.0,271.0,662.0,400.0,481.0,229.0,636.0,78.0,15.0,29.0,85.0,509.0,133.0,166.0,910.0,77.0,219.0,27.0,291.0,895.0,1129.0,122.0,151.0,614.0,10.0,298.0,97.0,566.0,216.0,291.0,187.0
1103.FCS,65.0,536.0,243.0,644.0,219.0,153.0,323.0,961.0,118.0,24.0,212.0,49.0,382.0,416.0,106.0,428.0,147.0,138.0,9.0,229.0,564.0,735.0,381.0,39.0,258.0,55.0,138.0,56.0,299.0,1246.0,356.0,471.0
2647.FCS,97.0,313.0,417.0,50.0,32.0,158.0,218.0,357.0,147.0,75.0,316.0,319.0,672.0,602.0,325.0,24.0,64.0,68.0,15.0,25.0,290.0,71.0,2197.0,120.0,1298.0,86.0,130.0,195.0,459.0,99.0,288.0,473.0
1535.FCS,41.0,166.0,66.0,263.0,128.0,338.0,126.0,493.0,121.0,68.0,102.0,20.0,73.0,357.0,86.0,293.0,6.0,92.0,4.0,311.0,1564.0,419.0,116.0,103.0,251.0,31.0,156.0,36.0,330.0,1100.0,263.0,2477.0
